Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric,123.444,-86.106,90.0,bottom
C2,0.1uF,C_0603_1608Metric,139.25,-96.4,0.0,bottom
C3,0.1uF,C_0603_1608Metric,120.142,-98.806,-90.0,bottom
C4,0.1uF,C_0603_1608Metric,134.84,-106.43,-45.0,bottom
C5,0.1uF,C_0603_1608Metric,137.2,-89.5,90.0,bottom
C6,0.1uF,C_0603_1608Metric,134.32625,-86.54,0.0,bottom
C7,1uF,C_0603_1608Metric,139.25,-94.9,0.0,bottom
C8,22pF,C_0603_1608Metric,126.384999,-106.497002,-90.0,bottom
C9,22pF,C_0603_1608Metric,132.481,-106.497001,90.0,bottom
D0,D,D_SOD-123,46.0375,-38.1,90.0,bottom
D1,D,D_SOD-123,70.05,-38.1,90.0,bottom
D2,D,D_SOD-123,89.05,-38.1,90.0,bottom
D3,D,D_SOD-123,174.7875,-38.1,90.0,bottom
D4,D,D_SOD-123,193.8375,-38.1,90.0,bottom
D5,D,D_SOD-123,217.65,-38.1,90.0,bottom
D6,D,D_SOD-123,39.05,-57.15,90.0,bottom
D7,D,D_SOD-123,65.2,-57.15,90.0,bottom
D8,D,D_SOD-123,84.25,-57.15,90.0,bottom
D9,D,D_SOD-123,103.3,-57.15,90.0,bottom
D10,D,D_SOD-123,122.35,-57.15,90.0,bottom
D11,D,D_SOD-123,141.4,-57.15,90.0,bottom
D12,D,D_SOD-123,160.45,-57.15,90.0,bottom
D13,D,D_SOD-123,179.5,-57.15,90.0,bottom
D14,D,D_SOD-123,198.55,-57.15,90.0,bottom
D15,D,D_SOD-123,224.74375,-57.15,90.0,bottom
D16,D,D_SOD-123,44.958,-72.136,90.0,bottom
D17,D,D_SOD-123,66.294,-72.136,90.0,bottom
D18,D,D_SOD-123,79.5,-76.4,90.0,bottom
D19,D,D_SOD-123,98.55,-76.4,90.0,bottom
D20,D,D_SOD-123,119.98125,-76.4,90.0,bottom
D21,D,D_SOD-123,143.81875,-76.4,90.0,bottom
D22,D,D_SOD-123,165.25,-76.4,90.0,bottom
D23,D,D_SOD-123,184.3,-76.4,90.0,bottom
D24,D,D_SOD-123,209.54,-72.13,90.0,bottom
D25,D,D_SOD-123,230.66,-72.13,90.0,bottom
D26,D,D_SOD-123,79.45,-95.45,90.0,bottom
D27,D,D_SOD-123,108.025,-95.45,90.0,bottom
D28,D,D_SOD-123,155.65,-95.45,90.0,bottom
D29,D,D_SOD-123,184.225,-95.45,90.0,bottom
D30,D_Small,D_SOD-123,70.86,-110.33,90.0,bottom
D31,D,D_SOD-123,99.69,-110.33,90.0,bottom
D32,D,D_SOD-123,170.942,-110.236,90.0,bottom
D33,D_Small,D_SOD-123,186.182,-110.236,90.0,bottom
F1,500mA,Fuse_1206_3216Metric,120.28,-37.14,90.0,bottom
R1,5.1k,R_0603_1608Metric,133.336,-34.841728,180.0,bottom
R2,5.1k,R_0603_1608Metric,123.43,-34.841728,0.0,bottom
R3,22,R_0603_1608Metric,127.685,-43.684228,90.0,bottom
R4,22,R_0603_1608Metric,129.336,-43.684228,90.0,bottom
R5,10k,R_0603_1608Metric,121.18,-89.77,-90.0,bottom
R6,10k,R_0603_1608Metric,137.2,-104.9,45.0,bottom
SW1,SW_Push,SKQG-1155865,146.5,-105.625,0.0,bottom
U1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,129.1,-94.9,180.0,bottom
U2,PRTR5V0U2X,SOT143B,128.46,-36.834228,180.0,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,128.5875,-24.0175,0.0,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,129.433,-106.497,0.0,bottom
